CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
0,222389,3756
0,222389,314
0,222389,491
7,93463,155
8,80790,158
8,80790,5584
8,80790,2214
9,90777,234
9,90777,1342
9,90777,17669
9,90777,73
11,81675,271
11,81675,897
11,81675,3024
11,81675,2219
11,81675,17767
11,81675,23
11,81675,870
13,91890,1489
16,80071,117
16,80071,1034
18,205797,21
19,146836,9260
19,146836,836
19,146836,74
19,146836,1422
19,146836,1778
19,146836,2030
19,146836,5800
19,146836,189
19,146836,515
19,146836,1303
21,80391,1141
21,80391,61
21,80391,17695
23,72157,1558
23,72157,477
23,72157,2740
23,72157,1204
24,57309,19017
26,140227,22586
26,140227,5326
28,230587,11123
28,230587,3166
29,89052,8
29,89052,1397
29,89052,26
29,89052,16
29,89052,250
29,89052,253
29,89052,199
29,89052,232
29,89052,261
29,89052,1369
29,89052,1360
29,89052,1455
29,89052,412
29,89052,862
29,89052,1717
29,89052,184
29,89052,819
30,138101,8219
30,138101,46
30,138101,5430
30,138101,45
31,175389,2220
32,124164,2055
39,105690,468
40,185745,7557
40,185745,415
40,185745,21554
41,88175,236
41,88175,271
41,88175,2116
41,88175,26
41,88175,16
41,88175,6746
41,88175,1512
41,88175,17703
41,88175,1150
41,88175,5716
41,88175,2878
41,88175,863
41,88175,862
41,88175,468
41,88175,175
41,88175,17775
41,88175,1820
41,88175,1407
45,82881,260
45,82881,46
45,82881,37
45,82881,131
45,82881,468
45,82881,175
47,199866,66
48,232413,10
48,232413,1404
48,232413,67
50,134012,2037
52,81125,3124
52,81125,74
52,81125,94
52,81125,662
52,81125,59
53,81654,22270
53,81654,2450
53,81654,4204
53,81654,1343
54,207450,487
54,207450,94
54,207450,1558
56,88108,19384
56,88108,18730
58,90500,1489
59,168161,5345
59,168161,1793
59,168161,73
59,168161,74
59,168161,142
64,150316,4294
64,150316,2493
64,150316,596
64,150316,7861
64,150316,5638
64,150316,440
64,150316,4996
69,82700,300
69,82700,2374
69,82700,1411
69,82700,1321
70,171418,2041
71,66582,15439
71,66582,6823
71,66582,50
71,66582,242
75,81987,3019
75,81987,856
75,81987,2936
75,81987,15333
80,194217,4194
80,194217,5056
81,84012,256
82,92932,4941
82,92932,4939
84,90384,139
84,90384,19017
84,90384,34
84,90384,141
84,90384,184
85,230003,477
89,78946,155
89,78946,6730
90,210254,19712
92,125322,6
93,135156,3938
94,158085,51
94,158085,153
97,163350,1786
97,163350,8047
97,163350,2076
97,163350,61
97,163350,855
97,163350,4290
97,163350,1298
97,163350,475
97,163350,713
98,39486,503
100,182184,155
100,182184,153
101,114222,3219
103,61296,73
104,131587,417
104,131587,16889
105,78811,359
105,78811,697
105,78811,1411
105,78811,1489
107,59569,15134
108,82715,2174
108,82715,3816
109,71289,22548
110,134674,3201
111,82564,6
111,82564,67
111,82564,61
111,82564,131
111,82564,416
111,82564,10
111,82564,193
115,96597,897
115,96597,65
115,96597,811
116,36823,119
119,40320,174
120,60213,2740
121,106549,234
121,106549,7810
121,106549,87
121,106549,417
121,106549,16889
121,106549,2382
121,106549,1007
121,106549,2086
121,106549,19935
121,106549,119
125,180160,2220
127,221867,3128
131,145862,4294
131,145862,9260
131,145862,73
131,145862,1027
131,145862,749
131,145862,1422
131,145862,1778
131,145862,515
131,145862,1303
134,84908,17669
134,84908,1041
134,84908,2086
135,82782,5
136,136274,81
136,136274,3
136,136274,846
136,136274,990
136,136274,142
136,136274,1626
136,136274,22
136,136274,21
136,136274,2800
136,136274,203
138,12110,8
138,12110,117
138,12110,5537
139,91498,4294
139,91498,250
139,91498,1027
139,91498,5573
139,91498,2030
139,91498,643
139,91498,232
141,12579,530
141,12579,10
142,23790,17590
142,23790,487
142,23790,17551
142,23790,333
142,23790,5537
143,172797,16
143,172797,141
144,38470,608
144,38470,5377
144,38470,534
144,38470,2546
145,9868,17588
145,9868,931
146,196527,1422
147,13890,408
148,197706,5997
148,197706,13932
149,159350,88
151,197971,1544
151,197971,13982
152,36799,0
152,36799,195
154,11133,17555
154,11133,260
154,11133,415
155,38232,117
156,51037,5532
157,37777,47
158,210221,1422
162,221253,4015
162,221253,75
162,221253,1196
162,221253,13724
162,221253,61
162,221253,11747
162,221253,12224
162,221253,4283
164,37157,931
164,37157,117
165,36732,931
166,197850,1544
167,157157,349
169,51274,5031
170,36736,47
171,173939,253
171,173939,232
175,131565,203
177,38425,17593
177,38425,19
183,121470,160
184,162730,74
184,162730,73
184,162730,23482
184,162730,19999
184,162730,21396
184,162730,181
185,178716,5105
187,79220,841
188,152725,81
188,152725,6
188,152725,396
188,152725,354
188,152725,18740
188,152725,2034
188,152725,19040
188,152725,2552
188,152725,18795
188,152725,18705
188,152725,40
188,152725,18766
189,110781,2724
190,205523,38
191,129261,17672
191,129261,73
191,129261,6730
192,159505,4505
192,159505,1767
194,76361,10
198,182393,19511
198,182393,15824
198,182393,21554
199,104790,6413
199,104790,1773
199,104790,155
199,104790,6
199,104790,47
199,104790,74
199,104790,173
199,104790,2958
199,104790,781
199,104790,16517
199,104790,4316
199,104790,5610
199,104790,410
199,104790,21
199,104790,45
199,104790,416
199,104790,2051
199,104790,18612
202,146692,3315
203,193575,58
205,10718,2115
205,10718,4369
208,37308,160
210,12366,503
210,12366,160
211,57495,503
212,95962,452
222,13790,503
223,50779,160
223,50779,503
223,50779,2136
228,37858,17960
229,82529,628
229,82529,21933
229,82529,2549
229,82529,18410
229,82529,23128
230,114760,452
231,212084,19559
237,206476,3464
239,164879,13246
241,68475,192
241,68475,2220
242,36706,18005
242,36706,1439
243,38401,452
245,163726,8
245,163726,232
245,163726,138
245,163726,2198
245,163726,2797
245,163726,16190
245,163726,18635
245,163726,1788
247,54385,17605
248,161551,1027
248,161551,749
248,161551,1422
249,58261,18002
253,111635,17681
253,111635,659
253,111635,244
253,111635,830
253,111635,66
255,51463,43
259,143632,43
260,10879,4481
263,103830,1436
264,148172,15830
265,230192,1196
266,36380,667
270,11919,18006
276,65949,43
277,204930,14734
277,204930,6853
277,204930,4
282,66738,67
283,99082,2930
283,99082,3082
283,99082,528
283,99082,18631
283,99082,29
283,99082,929
283,99082,664
283,99082,2187
284,62565,4452
285,98349,256
285,98349,67
285,98349,173
287,185544,31
288,104559,246
288,104559,155
288,104559,2958
288,104559,18012
290,66167,34
290,66167,288
290,66167,253
291,76774,59
291,76774,2
295,73769,802
297,151785,9
298,67308,19
298,67308,9
301,60043,43
305,38353,19
305,38353,2172
305,38353,2098
306,61043,27
306,61043,561
306,61043,77
306,61043,17879
307,147121,3896
308,68209,18000
310,98250,452
310,98250,16056
317,190812,21554
319,142819,816
319,142819,1233
319,142819,22252
319,142819,862
320,82539,1436
323,107311,705
323,107311,836
323,107311,74
324,55460,452
326,231542,185
327,72432,100
331,23846,18021
331,23846,2207
331,23846,17971
331,23846,17974
331,23846,454
331,23846,17006
331,23846,6204
332,51621,2502
333,206856,144
336,110924,452
338,102630,6641
338,102630,3442
338,102630,6
339,67260,16335
339,67260,809
339,67260,18313
339,67260,416
339,67260,77
341,164780,6057
343,183948,3940
343,183948,16537
344,66301,214
344,66301,3287
344,66301,1155
346,82724,359
346,82724,6086
347,93708,4294
347,93708,155
347,93708,113
347,93708,73
350,52014,455
351,37468,998
352,72852,3287
356,59370,94
359,65043,18006
365,37199,192
366,60504,2740
371,57490,59
371,57490,338
371,57490,657
372,40271,17976
372,40271,2870
374,55520,17196
376,38298,27
377,98203,1174
379,60697,62
383,161188,32
384,118028,394
384,118028,161
386,58856,15264
386,58856,39
386,58856,2790
386,58856,302
386,58856,412
386,58856,15525
386,58856,15405
386,58856,77
392,72363,184
393,40390,155
394,51355,1498
396,148618,3012
398,111004,7091
398,111004,326
398,111004,19112
398,111004,3295
398,111004,1602
398,111004,7092
400,135384,705
401,113924,452
403,51658,197
404,92001,6838
404,92001,6174
404,92001,36
404,92001,6504
405,126313,18975
405,126313,768
405,126313,42
405,126313,650
406,122850,9542
406,122850,22601
406,122850,8769
406,122850,19733
406,122850,2083
406,122850,1881
406,122850,301
406,122850,9538
406,122850,8763
406,122850,673
407,161427,14734
407,161427,20361
408,81819,954
408,81819,4608
408,81819,1599
408,81819,203
411,64328,59
413,51419,2207
413,51419,18058
415,112046,18673
415,112046,15478
417,138824,9
417,138824,27
418,135353,184
419,145553,6853
422,96062,2136
422,96062,17960
424,52901,18888
424,52901,1312
426,51111,47
428,59736,18
429,51716,6807
430,109367,5597
430,109367,5598
430,109367,713
431,135329,359
431,135329,46
432,54542,416
432,54542,6035
433,55210,17962
437,65737,234
442,108051,5814
446,40789,312
447,128995,1176
449,65953,416
452,83393,6
452,83393,19195
452,83393,6086
453,215122,1575
454,192240,153
456,86601,6600
456,86601,250
456,86601,253
456,86601,19653
456,86601,5487
456,86601,643
456,86601,2403
456,86601,804
456,86601,1643
456,86601,1721
456,86601,19654
456,86601,6981
456,86601,198
458,102990,6
461,52798,334
462,136572,19211
462,136572,6452
465,70256,17808
466,227971,3827
470,67616,19000
470,67616,140
470,67616,583
470,67616,2526
470,67616,2527
470,67616,276
470,67616,19001
471,135354,897
475,113279,452
476,85558,18109
478,86018,193
480,230648,659
482,66402,142
482,66402,64
482,66402,18972
483,88326,6
484,89356,46
485,80985,223
487,71692,155
488,59820,14953
489,145611,6119
489,145611,46
490,64667,290
490,64667,6244
493,88870,359
494,135374,19060
494,135374,6452
496,237372,46
497,115964,15999
498,81046,15999
499,64400,14953
499,64400,16766
500,74413,22139
500,74413,193
501,161750,161
504,168242,380
504,168242,42
504,168242,19028
504,168242,2024
504,168242,184
505,56827,717
505,56827,412
505,56827,2052
505,56827,862
505,56827,64
509,62396,234
511,85478,6
512,78647,14734
512,78647,1235
512,78647,5575
512,78647,193
513,52848,13
513,52848,16
514,143905,9542
515,65725,193
515,65725,161
515,65725,27
516,123983,4989
516,123983,94
516,123983,22642
516,123983,32
516,123983,515
518,79831,1705
519,71208,94
520,184322,9
520,184322,311
522,79607,6086
523,64067,234
523,64067,18972
524,64068,234
525,65743,64
528,67838,234
530,59874,535
531,82055,94
532,178750,142
533,89014,67
534,207690,2029
534,207690,174
534,207690,2772
534,207690,6236
534,207690,659
534,207690,9581
534,207690,387
534,207690,2841
534,207690,428
534,207690,436
534,207690,713
535,235375,897
535,235375,161
535,235375,15999
537,82092,142
537,82092,15999
538,89372,46
541,79646,183
541,79646,22
541,79646,1539
542,115646,1333
543,219196,2149
544,89359,272
545,175607,6873
546,154419,139
551,87474,6086
552,193361,19218
553,60560,94
554,83467,6086
554,83467,14734
555,136101,6537
555,136101,15905
557,87844,15999
558,78714,19205
559,63411,16950
559,63411,2004
561,197104,4031
563,91092,66
564,66474,64
565,59407,142
567,66564,14953
567,66564,628
567,66564,2740
567,66564,290
567,66564,6244
567,66564,118
570,54234,6110
570,54234,94
571,65313,628
573,193726,759
573,193726,175
574,74202,751
574,74202,15415
574,74202,15527
574,74202,15484
574,74202,10
576,53121,234
577,63378,234
579,57770,290
579,57770,6244
579,57770,32
579,57770,18972
579,57770,64
579,57770,174
581,58842,64
585,88616,6968
585,88616,6719
585,88616,240
585,88616,6506
585,88616,19
585,88616,312
585,88616,19501
585,88616,930
585,88616,19500
585,88616,15264
585,88616,652
585,88616,67
