CUSTOMER_ID,ORDER_NUMBER,MATERIAL_NUMBER
0,9,3756
0,9,314
0,9,491
2,4,147
2,4,2086
2,4,2328
2,4,2339
3,3,976
5,5,250
6,5,74
6,5,2297
6,5,2996
6,5,2328
6,5,2339
6,5,1489
7,3,155
8,4,158
8,4,5584
8,4,2214
9,5,234
9,5,1342
9,5,17669
9,5,73
11,3,271
11,3,897
11,3,3024
11,3,2219
11,3,17767
11,3,23
11,3,870
12,5,6
12,5,6730
12,5,14283
12,5,17612
12,5,804
12,5,416
13,6,1489
15,9,498
16,3,117
16,3,1034
18,5,21
19,7,9260
19,7,836
19,7,74
19,7,1422
19,7,1778
19,7,2030
19,7,5800
19,7,189
19,7,515
19,7,1303
20,11,491
20,11,1607
20,11,2151
20,11,9694
20,11,17664
20,11,7654
20,11,601
20,11,23076
20,11,1450
20,11,420
20,11,233
20,11,1546
20,11,893
20,11,2380
20,11,3268
20,11,1081
20,11,11
21,3,1141
21,3,61
21,3,17695
22,5,578
22,5,17672
23,3,1558
23,3,477
23,3,2740
23,3,1204
24,3,19017
26,8,22586
26,8,5326
28,16,11123
28,16,3166
29,3,8
29,3,1397
29,3,26
29,3,16
29,3,250
29,3,253
29,3,199
29,3,232
29,3,261
29,3,1369
29,3,1360
29,3,1455
29,3,412
29,3,862
29,3,1717
29,3,184
29,3,819
30,6,8219
30,6,46
30,6,5430
30,6,45
31,10,2220
32,6,2055
39,3,468
40,4,7557
40,4,415
40,4,21554
41,4,236
41,4,271
41,4,2116
41,4,26
41,4,16
41,4,6746
41,4,1512
41,4,17703
41,4,1150
41,4,5716
41,4,2878
41,4,863
41,4,862
41,4,468
41,4,175
41,4,17775
41,4,1820
41,4,1407
43,3,1656
43,3,12899
43,3,2269
45,3,260
45,3,46
45,3,37
45,3,131
45,3,468
45,3,175
47,7,66
48,8,10
48,8,1404
48,8,67
50,3,2037
52,3,3124
52,3,74
52,3,94
52,3,662
52,3,59
53,4,22270
53,4,2450
53,4,4204
53,4,1343
54,4,487
54,4,94
54,4,1558
55,7,336
55,7,954
55,7,6379
